"","Gene","No..isolates"
"812","group_3221",1
"813","group_3222",1
"814","group_3224",1
"815","group_3225",1
"816","group_3226",1
"817","group_3227",1
"818","group_3228",1
"819","group_3229",1
"820","group_3230",1
"821","hsad",1
"822","group_3231",1
"823","group_3232",1
"824","group_3233",1
"825","group_3234",1
"826","group_3235",1
"827","group_3236",1
"828","group_3237",1
"829","group_3238",1
"830","group_3239",1
"831","group_3241",1
"832","PPE64",1
"833","group_3244",1
"834","group_3246",1
"835","group_3248",1
"836","group_3250",1
"837","group_3252",1
"838","group_3253",1
"839","group_3254",1
"840","group_3255",1
"841","group_3256",1
"842","group_3257",1
"843","group_3258",1
"844","group_3259",1
"845","group_3260",1
"846","group_3261",1
"847","group_3262",1
"848","group_3263",1
"849","group_3264",1
"850","PPE63",1
"851","group_3265",1
"852","group_3266",2
"853","group_3441",2
"854","group_3442",2
"855","group_3443",2
"856","group_3267",2
"857","group_3268",1
"858","group_3269",1
"859","group_3270",1
"860","group_3271",1
"861","group_3272",1
"862","group_3273",1
"863","group_3274",1
"864","group_3275",1
"865","group_3276",1
"866","group_3277",1
"867","group_3278",1
"868","group_3279",1
"869","group_3280",1
"870","group_3281",1
"871","group_3282",1
"872","group_3283",1
"873","group_3284",1
"874","group_3285",1
"875","group_3286",1
"876","group_3287",1
"877","menA~~~fabH~~~fabH_2",53
"878","group_3290",2
"879","group_3291",6
"880","group_3292",7
"881","group_680",6
"882","group_681",6
"883","group_682",6
"884","group_683",6
"885","group_685",6
"886","group_690",6
"887","group_689",6
"888","group_691",6
"889","group_1873",6
"890","group_1875",6
"891","group_702",6
"892","menB_1",6
"893","group_699",6
"894","vapb3",6
"895","group_701",6
"896","nfdA",6
"897","group_711",6
"898","group_705",6
"899","group_708",6
"900","group_709",6
"901","mgta",6
"902","menH",6
"903","group_713",6
"904","group_715",6
"905","group_717",6
"906","group_719",6
"907","group_721",5
"908","group_1776",1
"909","group_726",5
"910","group_727",5
"911","group_728",5
"912","group_730",5
"913","group_732",5
"914","group_1766",5
"915","group_1751",5
"916","group_1753",5
"917","group_1754",5
"918","group_1756",5
"919","pncb2",5
"920","group_3561",6
"921","group_3524",7
"922","group_3440",6
"923","group_3501",1
"924","group_3500",42
"925","group_3498",42
"926","group_3497",42
"927","group_3496",42
"928","group_3495",42
"929","relj",42
"930","group_3494",42
"931","group_3509",42
"932","group_3508",42
"933","group_3507",42
"934","group_3506",42
"935","group_3505",42
"936","group_3504",42
"937","group_3503",42
"938","group_3502",25
"939","group_3479",8
"940","btuD",635
"941","group_2706",832
